video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=6_RdnVtfZPY&pp=ygUgaG9uZyBrb25nIHByb3Rlc3RzIDIwMTlIb25nIEtvbmc%3D,/@Vox,Vox,"Hong Kong’s huge protests, explained",9.6M,6 years,The people of Hong Kong are protesting in record-breaking numbers. Become a Video Lab member! http://bit.ly/video-lab ...,2026-01-22 02:55:14.412836
/watch?v=g9QIETD4QV0&pp=ygUgaG9uZyBrb25nIHByb3Rlc3RzIDIwMTlIb25nIEtvbmc%3D,/@nytimes,The New York Times,Hear Hong Kong Protesters Read Their Final Goodbyes | The Dispatch,293K,6 years,"As violence escalates between demonstrators and the police in Hong Kong, protesters have started writing “last letters” to their ...",2026-01-22 02:55:14.414270
/watch?v=c-AzfXMJkI8&pp=ygUgaG9uZyBrb25nIHByb3Rlc3RzIDIwMTlIb25nIEtvbmc%3D,/@ABCNews,ABC News,‘Citizen X’ and Hong Kong protesters’ battle for freedom | Nightline,2.1M,6 years,"Hong Kong's youth believe they are engaged in an existential struggle for the future of their region. A student, who asked to ...",2026-01-22 02:55:14.416041
/watch?v=pataOgLfhQQ&pp=ygUgaG9uZyBrb25nIHByb3Rlc3RzIDIwMTlIb25nIEtvbmc%3D,/@60minutes,60 Minutes,Jimmy Lai and Hong Kong pro-democracy demonstrations in 2019 | 60 Minutes Archive,27K,1 month,"60 Minutes reported from Hong Kong in 2019, when months of pro-democracy demonstrations turned increasingly violent. Jimmy ...",2026-01-22 02:55:14.419352
/watch?v=0oZHAPT-7ts&pp=ygUgaG9uZyBrb25nIHByb3Rlc3RzIDIwMTlIb25nIEtvbmc%3D,/@CBCTheNational,CBC News: The National,Hong Kong protests turn violent,251K,6 years,"Democracy protests in Hong Kong became violent on Tuesday, at least 66 people were injured, including one protester who was ...",2026-01-22 02:55:21.141730
/watch?v=qopfgTQxXGg&pp=ygUgaG9uZyBrb25nIHByb3Rlc3RzIDIwMTlIb25nIEtvbmc%3D,/@humanrightsfdn,Human Rights Foundation,Hong Kong Protests | June 2019,795,6 years,The people of Hong Kong took to the streets in June 2019 to protest. Their hope was to prevent the Hong Kong government from ...,2026-01-22 02:55:21.146675
/watch?v=j5yJmnuvx6M&pp=ygUgaG9uZyBrb25nIHByb3Rlc3RzIDIwMTlIb25nIEtvbmc%3D,/@CBSSundayMorning,CBS Sunday Morning,Sunday Journal: The origin of Hong Kong protests,74K,6 years,For months protesters in Hong Kong have demonstrated against a new law being debated that would curtail democratic principles ...,2026-01-22 02:55:21.148499
/watch?v=DtFlljI5t1I&pp=ygUgaG9uZyBrb25nIHByb3Rlc3RzIDIwMTlIb25nIEtvbmc%3D,/@BBCNews,BBC News,Hong Kong protests: A city's identity crisis - BBC News,422K,6 years,Hong Kong's protests have become increasingly violent as they continue into their sixth month. The fabric of the place is ...,2026-01-22 02:55:21.149778
/watch?v=j5YKKPizQi8&pp=ygUgaG9uZyBrb25nIHByb3Rlc3RzIDIwMTlIb25nIEtvbmc%3D,/@VICE,VICE,Inside Hong Kong's Fight for Freedom | Faceless (Full Film) | The Short List,556K,3 years,Faceless is an intimate portrayal of four young protestors in Hong Kong struggling to protect their freedom and way of life under ...,2026-01-22 02:55:21.153597
/watch?v=cYcgHgIdlxQ&pp=ygUgaG9uZyBrb25nIHByb3Rlc3RzIDIwMTlIb25nIEtvbmc%3D,/@hydrolooper8411,Hydro Looper,BBC: Our World 2019 - Inside the Hong Kong Protests,6.3K,6 years,"For five months protests have rocked Hong Kong, pitting hundreds of thousands of young, idealistic demonstrators against the ...",2026-01-22 02:55:21.154869
/watch?v=4bT7dDDkEq8&pp=ygUgaG9uZyBrb25nIHByb3Rlc3RzIDIwMTlIb25nIEtvbmc%3D,/@Reuters,Reuters,HK court sentences seven for 2019 attack on protesters,1.6K,4 years,A Hong Kong court sentenced seven men to between 3-1/2 and 7 years in prison for their role in a 2019 attack on pro-democracy ...,2026-01-22 02:55:21.157317
/watch?v=bScglx8Mgtc&pp=ygUgaG9uZyBrb25nIHByb3Rlc3RzIDIwMTlIb25nIEtvbmfSBwkJhwoBhyohjO8%3D,/@SkyNews,Sky News,Protesters in Hong Kong battle police over extradition bill,666K,6 years,Hong Kong police fired pepper spray and tear gas at protesters angry about an extradition bill that would allow people to be sent ...,2026-01-22 02:55:21.161332
/watch?v=X-GR88q8pIw&pp=ygUgaG9uZyBrb25nIHByb3Rlc3RzIDIwMTlIb25nIEtvbmc%3D,/@markets,Bloomberg Television,Watch Hong Kong Protesters Attack JPMorgan Banker,163K,6 years,Oct.04 -- A JPMorgan Chase & Co. employee was attacked and punched by a protester outside the company's main Hong Kong ...,2026-01-22 02:55:21.162778
/watch?v=OIqx3YIHntc&pp=ygUgaG9uZyBrb25nIHByb3Rlc3RzIDIwMTlIb25nIEtvbmc%3D,/@SouthChinaMorningPost,South China Morning Post,Widespread vandalism during 19th straight weekend of Hong Kong protests,577K,6 years,Read more here: https://sc.mp/slw9e Subscribe to our YouTube channel for free here: https://sc.mp/subscribe-youtube Masked ...,2026-01-22 02:55:21.166864
/watch?v=wXOJX-ysXNA&pp=ygUgaG9uZyBrb25nIHByb3Rlc3RzIDIwMTlIb25nIEtvbmc%3D,/@CBCNews,CBC News,Hong Kong's protests explained,54K,3 years,Massive protests took place in Hong Kong in 2019 in response to China's increasing control over the small territory. Here's why it's ...,2026-01-22 02:55:21.169565
/watch?v=kG62SDFl8C4&pp=ygUgaG9uZyBrb25nIHByb3Rlc3RzIDIwMTlIb25nIEtvbmc%3D,/@SBSDateline,SBS Dateline,Meet the forces behind Hong Kong's historic protests,168K,6 years,How do you turn an entire city into a protest movement? Dateline meets the organisers of Hong Kong's pro-democracy protests.,2026-01-22 02:55:21.173717
/watch?v=4lGulxt2X-k&pp=ygUgaG9uZyBrb25nIHByb3Rlc3RzIDIwMTlIb25nIEtvbmc%3D,/@SouthChinaMorningPost,South China Morning Post,Protests continue to grip Hong Kong,1M,6 years,Subscribe to our YouTube channel for free here: https://sc.mp/subscribe-youtube Protests continued in Hong Kong through the ...,2026-01-22 02:55:21.178276
/watch?v=jblDG4Dj7x8&pp=ygUgaG9uZyBrb25nIHByb3Rlc3RzIDIwMTlIb25nIEtvbmc%3D,/@didyouknowthat609,Did you know that?,2019 Hong Kong protests - explained,225,6 years,"Please leave a like, subscribe and enable the notifications to know more! Help us build this channel, comment on what else you ...",2026-01-22 02:55:21.179792
/watch?v=baAm-vANGeQ&pp=ygUgaG9uZyBrb25nIHByb3Rlc3RzIDIwMTlIb25nIEtvbmc%3D,/@guardiannews,Guardian News,Hong Kong protesters shoot arrows at police during clashes at Chinese University,324K,6 years,Protesters have armed themselves with arrows and petrol bombs in angry clashes at the Chinese University of Hong Kong.,2026-01-22 02:55:21.181120
