video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=qopfgTQxXGg&pp=ygUdaG9uZyBrb25nIHByb3Rlc3RzIDIwMTlUYWlwZWk%3D,/@humanrightsfdn,Human Rights Foundation,Hong Kong Protests | June 2019,795,6 years,The people of Hong Kong took to the streets in June 2019 to protest. Their hope was to prevent the Hong Kong government from ...,2026-01-22 03:06:49.252499
/watch?v=j5yJmnuvx6M&pp=ygUdaG9uZyBrb25nIHByb3Rlc3RzIDIwMTlUYWlwZWk%3D,/@CBSSundayMorning,CBS Sunday Morning,Sunday Journal: The origin of Hong Kong protests,74K,6 years,For months protesters in Hong Kong have demonstrated against a new law being debated that would curtail democratic principles ...,2026-01-22 03:06:49.254309
/watch?v=4bT7dDDkEq8&pp=ygUdaG9uZyBrb25nIHByb3Rlc3RzIDIwMTlUYWlwZWk%3D,/@Reuters,Reuters,HK court sentences seven for 2019 attack on protesters,1.6K,4 years,#HongKongProtests #YuenLong #News #Reuters Subscribe: http://smarturl.it/reuterssubscribe Reuters brings you the latest ...,2026-01-22 03:06:49.255930
/watch?v=c-AzfXMJkI8&pp=ygUdaG9uZyBrb25nIHByb3Rlc3RzIDIwMTlUYWlwZWk%3D,/@ABCNews,ABC News,‘Citizen X’ and Hong Kong protesters’ battle for freedom | Nightline,2.1M,6 years,"Hong Kong's youth believe they are engaged in an existential struggle for the future of their region. A student, who asked to ...",2026-01-22 03:06:49.260590
/watch?v=V2p_oqHwmJQ&pp=ygUdaG9uZyBrb25nIHByb3Rlc3RzIDIwMTlUYWlwZWk%3D,/@RtiEnglish,RTI English,"2019 Hong Kong Protests | Taiwan Insider | June 13, 2019 | RTI",578,6 years,Images of tear gas and rubber bullets in the streets have kept us glued to the television and the internet this week; we've got Hong ...,2026-01-22 03:06:49.262469
/watch?v=6_RdnVtfZPY&pp=ygUdaG9uZyBrb25nIHByb3Rlc3RzIDIwMTlUYWlwZWk%3D,/@Vox,Vox,"Hong Kong’s huge protests, explained",9.6M,6 years,The people of Hong Kong are protesting in record-breaking numbers. Become a Video Lab member! http://bit.ly/video-lab ...,2026-01-22 03:06:49.264315
/watch?v=4hJiOscXmf8&pp=ygUdaG9uZyBrb25nIHByb3Rlc3RzIDIwMTlUYWlwZWk%3D,/@RtiEnglish,RTI English,"Hong Kong Protests and Taiwan Referendums | Taiwan Insider | June 20, 2019 | RTI",160,6 years,Taiwan and Hong Kong have both been exercising their democracy this week. Two million Hong Kongers hit the streets last ...,2026-01-22 03:06:49.267092
/watch?v=uYYqQ8kLH4A&pp=ygUdaG9uZyBrb25nIHByb3Rlc3RzIDIwMTlUYWlwZWk%3D,/@APArchive,AP Archive,Protesters joined gather outside Hong Kong's Consulate in Taipei,156,6 years,(27 Jun 2019) Dozens of Hong Kong students and human rights activists protested outside the Hong Kong Consulate in Taipei on ...,2026-01-22 03:06:49.268940
/watch?v=Xl8XDJ-vv-c&pp=ygUdaG9uZyBrb25nIHByb3Rlc3RzIDIwMTlUYWlwZWk%3D,/@Formosa_News,Formosa News (民視英語新聞),Hong Kong students protest outside city’s representative office in Taipei,5.1K,6 years,"As protests rocked Hong Kong, here in Taiwan, students from Hong Kong also took to the streets. More than a hundred protesters ...",2026-01-22 03:06:49.270431
/watch?v=WjOTSAOZ4VM&pp=ygUdaG9uZyBrb25nIHByb3Rlc3RzIDIwMTlUYWlwZWnSBwkJhwoBhyohjO8%3D,/@markets,Bloomberg Television,Hong Kong Protesters Trapped in University Surrounded by Police,97K,6 years,"Nov.18 -- Hong Kong leader Carrie Lam urged protesters holed up in a Kowloon university to heed police calls to surrender, ...",2026-01-22 03:06:49.272215
/watch?v=pataOgLfhQQ&pp=ygUdaG9uZyBrb25nIHByb3Rlc3RzIDIwMTlUYWlwZWk%3D,/@60minutes,60 Minutes,Jimmy Lai and Hong Kong pro-democracy demonstrations in 2019 | 60 Minutes Archive,27K,1 month,"60 Minutes reported from Hong Kong in 2019, when months of pro-democracy demonstrations turned increasingly violent. Jimmy ...",2026-01-22 03:06:49.273837
/watch?v=ZPYuGYLesx0&pp=ygUdaG9uZyBrb25nIHByb3Rlc3RzIDIwMTlUYWlwZWk%3D,/@SouthChinaMorningPost,South China Morning Post,Elderly woman vents frustration at Hong Kong protesters,1.2M,6 years,"Subscribe to our YouTube channel for free here: https://sc.mp/subscribe-youtube As Hong Kong enters its 18th week of unrest, ...",2026-01-22 03:06:49.275778
/watch?v=mttW59-WjmE&pp=ygUdaG9uZyBrb25nIHByb3Rlc3RzIDIwMTlUYWlwZWk%3D,/@efeinternationales,EFE in English,Hong Kong activist calls on Taiwanese to protest in solidarity,82,6 years,"Taipei (Taiwan), Sep 3 (EFE/EPA).- (Camera: Ritchie Tongo). A prominent Hong Kong democracy activist urged Taiwanese ...",2026-01-22 03:06:49.279186
/watch?v=XVeBENYjxjE&pp=ygUdaG9uZyBrb25nIHByb3Rlc3RzIDIwMTlUYWlwZWnSBwkJhwoBhyohjO8%3D,/@VICENews,VICE News,Why Hong Kong Is Rising Up (HBO),552K,6 years,"For the second time in four days, Hong Kong was brought to a standstill by mass protests over a controversial extradition bill that ...",2026-01-22 03:06:49.280505
/watch?v=4lGulxt2X-k&t=23s&pp=ygUdaG9uZyBrb25nIHByb3Rlc3RzIDIwMTlUYWlwZWk%3D,/@SouthChinaMorningPost,South China Morning Post,Protests continue to grip Hong Kong,1M,6 years,Subscribe to our YouTube channel for free here: https://sc.mp/subscribe-youtube Protests continued in Hong Kong through the ...,2026-01-22 03:06:49.283713
/watch?v=C_h1oJYyTe4&pp=ygUdaG9uZyBrb25nIHByb3Rlc3RzIDIwMTlUYWlwZWk%3D,/@globalnews,Global News,"Hong Kong police battle protesters, make mass arrests in violent weekend before China's National Day",216K,6 years,Pro-democracy protests in Hong Kong escalated over the weekend with some of the most violent clashes since demonstrations ...,2026-01-22 03:06:49.286139
/watch?v=Vc_ddWK_AMs&pp=ygUdaG9uZyBrb25nIHByb3Rlc3RzIDIwMTlUYWlwZWk%3D,/@Formosa_News,Formosa News (民視英語新聞),Activists organizing pro-Hong Kong rally in Taipei on Sept. 29,2K,6 years,"For three months now, Hong Kong has been gripped by protests against a bill permitting extradition to China. Several political ...",2026-01-22 03:06:49.288463
/watch?v=g9QIETD4QV0&pp=ygUdaG9uZyBrb25nIHByb3Rlc3RzIDIwMTlUYWlwZWk%3D,/@nytimes,The New York Times,Hear Hong Kong Protesters Read Their Final Goodbyes | The Dispatch,293K,6 years,"As violence escalates between demonstrators and the police in Hong Kong, protesters have started writing “last letters” to their ...",2026-01-22 03:06:49.289733
/watch?v=pu_KHGfsqnM&pp=ygUdaG9uZyBrb25nIHByb3Rlc3RzIDIwMTlUYWlwZWk%3D,/@ABCNews,ABC News,"Police fire warning shots, tear gas amid Hong Kong protests | ABC News",30K,6 years,Police even pointed their weapons directly at demonstrators as they used live ammunition for the first time since the three-month ...,2026-01-22 03:06:49.292001
/watch?v=xcODtfRb--M&pp=ygUdaG9uZyBrb25nIHByb3Rlc3RzIDIwMTlUYWlwZWk%3D,/@PBSNewsHour,PBS NewsHour,Pro-democracy demonstrators and Beijing fight for the future of Hong Kong,54K,6 years,Hong Kong residents have been protesting for months against an extradition bill that would have allowed criminal suspects to be ...,2026-01-22 03:06:49.294766
/watch?v=1IReMbHucwY&pp=ygUeaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgVGFpcGVp,/@TheNewsmakers,The Newsmakers,Did Hong Kong Protests Influence Taiwanese Voters?,333,6 years,"Taiwan's political incumbent Tsai Ing-wen won a resounding victory in presidential elections, sending a clear signal to Beijing ...",2026-01-22 03:06:57.057993
/watch?v=-1lKLBMWqT0&pp=ygUeaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgVGFpcGVp,/@APArchive,AP Archive,AP Interview: Taiwan may help if HK violence expands,913,6 years,(10 Dec 2019) Taiwan's top diplomat said Tuesday that his government stands with Hong Kong citizens pushing for “freedom and ...,2026-01-22 03:06:57.059747
/watch?v=SNywbwraOsw&pp=ygUeaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgVGFpcGVp,/@markets,Bloomberg Television,3 Hong Kong Protest Leaders Arrested,84K,6 years,Aug.29 -- The party of prominent Hong Kong Democracy activist Joshua Wong says he and another party co-founder have been ...,2026-01-22 03:06:57.063430
/watch?v=U0LvWnobB0w&pp=ygUeaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgVGFpcGVp,/@euronews,euronews,Rival groups clash in Hong Kong protests,14K,6 years,Pro-democracy and pro-Beijing groups clashed in a shopping mall in Hong Kong on Saturday as unrest over alleged Chinese ...,2026-01-22 03:06:57.065425
/watch?v=az8wRP9y_dM&pp=ygUeaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgVGFpcGVp,/@VOANews,Voice of America,Police Fire Tear Gas at Protesters Inside Hong Kong Train Station,82K,6 years,"Police fired tear gas inside a Hong Kong train station in reaction to continued protests, Sunday, August 11. It was not clear how ...",2026-01-22 03:06:57.067010
/watch?v=mvuoAS52jIM&pp=ygUeaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgVGFpcGVp,/@Formosa_News,Formosa News (民視英語新聞),Joshua Wong calls on Taiwanese to stand with Hong Kong on Sunday,5.1K,6 years,The Hong Kong Outlanders and other youth organizations will lead a Taipei demonstration on Sunday in support of Hong Kong''s ...,2026-01-22 03:06:57.068561
/watch?v=FVDoNje7Ay0&pp=ygUeaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgVGFpcGVp,/@CNBCtelevision,CNBC Television,Ferguson: Taiwan watching Hong Kong protests closely as elections approach,14K,6 years,"... senior fellow at the Hoover Institution at Stanford University, joins CNBC's ""Closing Bell"" to talk about the Hong Kong protests ...",2026-01-22 03:06:57.071648
/watch?v=0FJ4OIpez1E&pp=ygUeaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgVGFpcGVp0gcJCYcKAYcqIYzv,/@FoxNews,Fox News,Thirteen injured in Hong Kong protests: Report,45K,6 years,Protests heat up leaving 13 people injured two days ahead of the 70th anniversary of the founding of the People's Republic of ...,2026-01-22 03:06:57.075310
/watch?v=T5bDZEKtAfE&pp=ygUeaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgVGFpcGVp0gcJCYcKAYcqIYzv,/@BBCNews,BBC News,Hong Kong protests: Airport cancels flights as thousands occupy - BBC News,40K,6 years,"The BBC's Stephen McDonell is in Hong Kong International Airport where departing flights has been cancelled , as ...",2026-01-22 03:06:57.076879
/watch?v=CcNV1g6R1XI&pp=ygUeaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgVGFpcGVp,/@Formosa_News,Formosa News (民視英語新聞),Hong Kong protesters launch campaign to incite bank run,5.7K,6 years,"Today Hong Kong protesters tried out a new tactic in their anti-extradition bill demonstrations. Across the city, residents withdrew ...",2026-01-22 03:06:57.079575
/watch?v=o0fOKsQf5K0&pp=ygUeaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgVGFpcGVp,/@euronews,euronews,Taiwanese stage solidarity with Hong Kong protests,1.4K,11 years,"Taiwan, which China regards as a renegade province that has to return to China one day, is following the events in Hong Kong ...",2026-01-22 03:06:57.081860
/watch?v=yo11cz2l8NU&pp=ygUeaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgVGFpcGVp,/@cgtn,CGTN,Official warns Taiwan's Democratic Progressive Party to stop undermining Hong Kong's rule of law,1.5K,6 years,The State Council's Taiwan Affairs Office has warned the Democratic Progressive Party to stop undermining the rule of law in ...,2026-01-22 03:06:57.085608
/watch?v=Wkhxw-FkMWU&pp=ygUeaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgVGFpcGVp,/@France24_en,FRANCE 24 English,7 Hong Kong democracy leaders convicted over 2019 protests,707,4 years,Seven #HongKong pro-#democracy advocates were convicted Thursday on charges of organizing and participating in an ...,2026-01-22 03:06:57.087215
/watch?v=E03t7HFQSJk&pp=ygUeaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgVGFpcGVp,/@FoxNews,Fox News,Should the US get more involved with Hong Kong protests?,64K,6 years,Trump facing pressure to speak out against crackdown; former National Security Council official Brigadier Gen. Robert Spalding ...,2026-01-22 03:06:57.088779
/watch?v=hRvjakZ6xvQ&pp=ygUeaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgVGFpcGVp,/@RtiEnglish,RTI English,"Hong Kong’s Endgame | Taiwan Insider | Oct. 3, 2019 | RTI",222,6 years,Protests in Hong Kong became violent on China's National Day with protesters throwing petrol bombs and police opening fire with ...,2026-01-22 03:06:57.091035
/watch?v=ujz9WnJa5MQ&pp=ygUeaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgVGFpcGVp0gcJCYcKAYcqIYzv,/@ITVNews,ITV News,China blames the West for Hong Kong protests after more violent clashes | ITV News,16K,6 years,"China has blamed Western forces for demonstrations in Hong Kong, following another weekend of violent clashes between ...",2026-01-22 03:06:57.093904
/watch?v=TFj1LfWpLLc&pp=ygUeaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgVGFpcGVp,/@guardiannews,Guardian News,Hong Kong protesters storm government headquarters,75K,6 years,"Hundreds of protesters have stormed the Hong Kong government building on the anniversary of the city's 1997 return to China, ...",2026-01-22 03:06:57.097320
/watch?v=k58gRXkQIWw&pp=ygUeaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgVGFpcGVp,/@channelnewsasia,CNA,Activist Joshua Wong urges Taiwanese to show support for Hong Kong,28K,6 years,Hong Kong activist Joshua Wong urged the Taiwanese to show their support for Hong Kong by taking to the streets on Oct 1 ...,2026-01-22 03:06:57.098868
/watch?v=i6odwbH2Mmw&pp=ygUeaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgVGFpcGVp,/@NewBloomMag,New Bloom,One Year Anniversary of Start of Hong Kong Protests Remembered in Taipei,123,5 years,"One day before the anticipated passage of new national security legislation in Hong Kong, New Bloom presents a look back at the ...",2026-01-22 03:06:57.102489
/watch?v=fMAgFicfN3g&pp=ygUeaG9uZyBrb25nIHByb3Rlc3RzIDIwMTkgVGFpcGVp0gcJCYcKAYcqIYzv,/@markets,Bloomberg Television,China to Respond to Hong Kong Protests,49K,6 years,Jul.28 -- China's top Hong Kong policy office will give its first response on Monday on two months of increasingly chaotic unrest in ...,2026-01-22 03:06:57.104087
/shorts/w7H0IF5-A2g,/@Bloomberg-News,Bloomberg News,How Hong Kong Protesters Are Uniting Amid Rising Unrest,12K,6 years,"From helping each other to rinse away tear gas to donating transit tickets, here's how Hong Kong protesters are uniting Fresh train ...",2026-01-22 03:07:05.957837
